Date,Open,High,Low,Close,Adj Close,Volume
2011-06-20,34.551430,37.264286,34.302856,36.708572,36.708572,133948500
2011-06-27,36.414288,38.391430,35.948570,38.284286,38.284286,103798100
2011-07-04,39.428570,42.478573,39.387142,42.162857,42.162857,143000200
2011-07-11,42.118572,43.541428,40.231430,40.990002,40.990002,191842700
2011-07-18,40.351429,41.330002,38.650002,39.511429,39.511429,114316300
2011-07-25,40.081429,40.785713,35.922855,37.998573,37.998573,239626800
2011-08-01,38.362858,38.500000,33.775715,34.444286,34.444286,145233900
2011-08-08,32.849998,35.407143,31.642857,34.857143,34.857143,135921800
2011-08-15,35.095715,35.254284,29.285715,29.315714,29.315714,135289700
2011-08-22,30.338572,31.958570,29.049999,31.698572,31.698572,145539100
2011-08-29,32.424286,34.554287,29.660000,30.444286,30.444286,155309700
2011-09-05,29.871429,31.711428,29.027143,29.138571,29.138571,117296200
2011-09-12,28.758572,30.178572,22.020000,22.170000,22.170000,345827300
2011-09-19,22.384285,23.284286,17.860001,18.480000,18.480000,712178600
2011-09-26,19.459999,19.697144,15.375714,16.181429,16.181429,427576800
2011-10-03,16.448572,17.750000,15.714286,16.744286,16.744286,242967900
2011-10-10,18.222857,18.357143,14.732857,16.577143,16.577143,483444500
2011-10-17,16.558571,17.035715,15.084286,16.719999,16.719999,211321600
2011-10-24,17.014286,17.182858,10.607142,12.020000,12.020000,713695500
2011-10-31,11.948571,13.270000,11.248571,12.860000,12.860000,293223000
2011-11-07,13.000000,13.405714,11.957143,12.535714,12.535714,185901800
2011-11-14,12.570000,12.585714,10.827143,11.151428,11.151428,165296600
2011-11-21,11.000000,11.425714,8.985714,9.122857,9.122857,233776200
2011-11-28,9.600000,10.108571,8.910000,9.481428,9.481428,307030500
2011-12-05,9.564285,10.421429,9.328571,10.127143,10.127143,265514200
2011-12-12,9.962857,11.084286,9.845715,9.974286,9.974286,262013500
2011-12-19,9.970000,10.654285,9.561429,10.374286,10.374286,128884700
2011-12-26,10.328571,10.355714,9.658571,9.898571,9.898571,93510200
2012-01-02,10.040000,12.471429,10.018572,12.327143,12.327143,341867400
2012-01-09,12.801429,14.262857,12.448571,13.482857,13.482857,597639000
2012-01-16,13.714286,14.967143,13.178572,14.320000,14.320000,257574100
2012-01-23,14.101429,17.712856,13.068571,17.684286,17.684286,442142400
2012-01-30,17.822857,18.497143,16.821428,18.061428,18.061428,330320900
2012-02-06,17.602858,19.061428,17.407143,17.704287,17.704287,288480500
2012-02-13,17.852858,17.902857,16.875713,17.407143,17.407143,208594400
2012-02-20,17.692858,18.021429,15.505714,15.952857,15.952857,240534000
2012-02-27,15.435715,16.834286,15.234285,16.442858,16.442858,202372800
2012-03-05,16.385714,16.645714,14.647142,15.590000,15.590000,219543800
2012-03-12,15.392858,15.958571,14.700000,15.708571,15.708571,179586400
